City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Jibuti,DJ,2021-04-22 02:43:20,11.5,42.5,80.6,74,75,7.96
230,Phan Thiet,VN,2021-04-22 02:43:20,10.9333,108.1,87.57,62,83,2.62
231,Bikin,RU,2021-04-22 02:43:21,46.8161,134.26,70.38,22,0,7.23
232,Panguna,PG,2021-04-22 02:43:21,-6.3164,155.4848,76.06,85,78,0.72
233,Manokwari,ID,2021-04-22 02:43:00,-0.8667,134.0833,83.19,68,45,4.36
234,Provideniya,RU,2021-04-22 02:43:21,64.3833,-173.3,33.8,60,0,1.9
235,Ojinaga,MX,2021-04-22 02:43:22,29.5667,-104.4167,62.6,36,1,17.27
236,Sunndalsora,NO,2021-04-22 02:43:22,62.6754,8.5515,35.6,93,75,3.44
237,Sao Joao Da Barra,BR,2021-04-22 02:43:22,-21.6403,-41.0511,70.29,86,0,15.37
238,Golspie,GB,2021-04-22 02:43:22,57.9727,-3.978,32.0,91,100,1.99
239,Faya,SA,2021-04-22 02:43:23,18.3851,42.4509,60.8,36,0,3.85
240,Beyneu,KZ,2021-04-22 02:43:23,45.3167,55.2,53.62,21,100,24.58
241,Road Town,VG,2021-04-22 02:43:23,18.4167,-64.6167,78.01,88,73,15.99
242,Ola,RU,2021-04-22 02:43:23,59.5833,151.2833,32.88,97,100,3.15
243,Putina,PE,2021-04-22 02:43:24,-15.4667,-69.4333,42.37,76,46,3.78
244,Coquimbo,CL,2021-04-22 02:43:24,-29.9533,-71.3436,57.2,88,0,6.91
245,Portland,US,2021-04-22 02:40:22,45.5234,-122.6762,72.0,32,75,6.91
246,Alyangula,AU,2021-04-22 02:43:24,-13.8483,136.4192,87.8,74,75,9.22
247,Oranjemund,NA,2021-04-22 02:43:25,-28.55,16.4333,59.31,87,0,3.71
248,Bulancak,TR,2021-04-22 02:43:25,40.9372,38.2291,51.8,100,75,1.14
249,Codrington,AU,2021-04-22 02:43:25,-38.2667,141.9667,60.4,55,50,17.63
250,Dunedin,NZ,2021-04-22 02:43:25,-45.8742,170.5036,62.01,66,13,8.99
251,Halvad,IN,2021-04-22 02:43:26,23.0167,71.1833,83.28,49,66,6.31
252,Osorno,CL,2021-04-22 02:43:26,-40.5667,-73.15,44.6,93,0,1.57
253,Port Lincoln,AU,2021-04-22 02:43:26,-34.7333,135.8667,61.93,56,100,12.39
254,Namibe,AO,2021-04-22 02:43:26,-15.1961,12.1522,80.73,69,39,3.8
255,Lubao,PH,2021-04-22 02:43:27,14.9167,120.55,89.6,74,75,2.3
256,Muros,ES,2021-04-22 02:43:27,42.7762,-9.0603,55.0,95,99,7.47
257,Havoysund,NO,2021-04-22 02:43:27,70.9963,24.6622,33.8,69,75,4.61
258,Erenhot,CN,2021-04-22 02:43:28,43.6475,111.9767,64.56,45,99,6.67
259,Bardiyah,LY,2021-04-22 02:43:28,31.7561,25.0865,58.28,71,0,8.01
260,Qasigiannguit,GL,2021-04-22 02:43:28,68.8193,-51.1922,28.4,50,26,16.11
261,Mezhdurechensk,RU,2021-04-22 02:43:28,53.6942,88.0603,32.99,65,99,3.51
262,Hilo,US,2021-04-22 02:40:44,19.7297,-155.09,82.4,57,75,9.22
263,Kaeo,NZ,2021-04-22 02:43:29,-35.1,173.7833,71.01,68,42,8.99
264,Chicama,PE,2021-04-22 02:43:29,-7.8447,-79.1469,70.36,80,37,6.89
265,San Joaquin,US,2021-04-22 02:43:29,37.9333,-121.3011,69.8,37,1,17.27
266,Batticaloa,LK,2021-04-22 02:43:30,7.7102,81.6924,82.74,73,62,5.75
267,San Quintin,MX,2021-04-22 02:43:30,30.4833,-115.95,57.47,70,17,11.1
268,Mamou,GN,2021-04-22 02:43:30,10.5,-12.0,70.48,89,88,2.46
269,Ulladulla,AU,2021-04-22 02:43:30,-35.35,150.4667,64.4,32,0,17.27
270,La Romana,DO,2021-04-22 02:43:31,18.4273,-68.9728,73.4,100,20,8.9
271,Luena,AO,2021-04-22 02:43:31,-11.7833,19.9167,58.68,71,41,3.87
272,Copiapo,CL,2021-04-22 02:43:31,-27.3667,-70.3333,59.0,88,90,2.06
273,Plettenberg Bay,ZA,2021-04-22 02:43:32,-34.0527,23.3716,65.62,93,96,9.15
274,Sobolevo,RU,2021-04-22 02:43:32,54.4299,31.8996,38.08,96,37,7.36
275,Tucuman,AR,2021-04-22 02:40:16,-26.8241,-65.2226,75.2,83,20,4.79
276,Caravelas,BR,2021-04-22 02:43:32,-17.7125,-39.2481,73.89,89,99,1.77
277,Hasaki,JP,2021-04-22 02:43:33,35.7333,140.8333,75.99,18,40,16.11
278,Changli,CN,2021-04-22 02:43:33,39.7042,119.1506,50.23,72,100,7.99
279,Vung Tau,VN,2021-04-22 02:43:33,10.346,107.0843,81.66,78,100,5.06
280,Broome,US,2021-04-22 02:43:33,42.2506,-75.833,30.0,74,75,11.5
281,Willowmore,ZA,2021-04-22 02:43:34,-33.2926,23.4895,60.49,73,100,7.31
282,Chippewa Falls,US,2021-04-22 02:43:34,44.9369,-91.3929,35.6,44,90,3.44
283,Necochea,AR,2021-04-22 02:43:34,-38.5473,-58.7368,66.0,89,100,14.0
284,Ust-Tsilma,RU,2021-04-22 02:43:34,65.441,52.1498,40.35,88,100,10.58
285,Tuatapere,NZ,2021-04-22 02:43:35,-46.1333,167.6833,55.0,81,100,4.0
286,Tuktoyaktuk,CA,2021-04-22 02:43:35,69.4541,-133.0374,12.2,73,20,23.02
287,Cabedelo,BR,2021-04-22 02:43:35,-6.9811,-34.8339,77.0,100,40,3.44
288,Aginskoye,RU,2021-04-22 02:43:36,51.1,114.53,47.68,22,6,14.18
289,Umba,RU,2021-04-22 02:43:36,66.6871,34.3429,34.52,98,100,6.33
290,Nishihara,JP,2021-04-22 02:43:36,26.1842,127.7558,71.6,88,75,17.27
291,Torbay,CA,2021-04-22 02:43:36,47.6666,-52.7314,37.99,93,20,5.75
292,Valencia,ES,2021-04-22 02:41:38,39.3333,-0.8333,55.99,94,75,4.61
